HALLMARK_INFLAMMATORY_RESPONSE	FRIDMAN_SENESCENCE_DN	FRIDMAN_SENESCENCE_UP	CHICAS_RB1_TARGETS_SENESCENT	Senescence_UP	Senescence_DOWN	SASP	SASP_2	Tasdemir_et_al_Senescence_signature	Custom_SASP_Chibaya_et_al_mouse
NA	NA	NA	Ska2	NA	NA	NA	NA	NA	NA
NA	NA	NA	Skp2	NA	NA	NA	NA	NA	NA
NA	NA	NA	Slamf8	NA	NA	NA	NA	NA	NA
NA	NA	NA	Slbp	NA	NA	NA	NA	NA	NA
NA	NA	NA	Slc14a1	NA	NA	NA	NA	NA	NA
NA	NA	NA	Slc20a1	NA	NA	NA	NA	NA	NA
NA	NA	NA	Slc25a36	NA	NA	NA	NA	NA	NA
NA	NA	NA	Slc25a37	NA	NA	NA	NA	NA	NA
NA	NA	NA	Slc25a40	NA	NA	NA	NA	NA	NA
NA	NA	NA	Slc27a3	NA	NA	NA	NA	NA	NA
NA	NA	NA	Slc39a8	NA	NA	NA	NA	NA	NA
NA	NA	NA	Slc43a3	NA	NA	NA	NA	NA	NA
NA	NA	NA	Slc5a3	NA	NA	NA	NA	NA	NA
NA	NA	NA	Slc7a1	NA	NA	NA	NA	NA	NA
NA	NA	NA	Slc7a2	NA	NA	NA	NA	NA	NA
NA	NA	NA	Slco4a1	NA	NA	NA	NA	NA	NA
NA	NA	NA	Smad5	NA	NA	NA	NA	NA	NA
NA	NA	NA	Smarcc1	NA	NA	NA	NA	NA	NA
NA	NA	NA	Smc1a	NA	NA	NA	NA	NA	NA
NA	NA	NA	Smc3	NA	NA	NA	NA	NA	NA
NA	NA	NA	Smc6	NA	NA	NA	NA	NA	NA
NA	NA	NA	Smoc1	NA	NA	NA	NA	NA	NA
NA	NA	NA	Snx7	NA	NA	NA	NA	NA	NA
NA	NA	NA	Son	NA	NA	NA	NA	NA	NA
NA	NA	NA	Sox11	NA	NA	NA	NA	NA	NA
NA	NA	NA	Sox17	NA	NA	NA	NA	NA	NA
NA	NA	NA	Spata18	NA	NA	NA	NA	NA	NA
NA	NA	NA	Spdl1	NA	NA	NA	NA	NA	NA
NA	NA	NA	Spen	NA	NA	NA	NA	NA	NA
NA	NA	NA	Spin4	NA	NA	NA	NA	NA	NA
NA	NA	NA	Srd5a3	NA	NA	NA	NA	NA	NA
NA	NA	NA	Srrm2	NA	NA	NA	NA	NA	NA
NA	NA	NA	St3gal1	NA	NA	NA	NA	NA	NA
NA	NA	NA	Steap1	NA	NA	NA	NA	NA	NA
NA	NA	NA	Sting1	NA	NA	NA	NA	NA	NA
NA	NA	NA	Stmn3	NA	NA	NA	NA	NA	NA
NA	NA	NA	Synj2	NA	NA	NA	NA	NA	NA
NA	NA	NA	Tagln3	NA	NA	NA	NA	NA	NA
NA	NA	NA	Tbx3	NA	NA	NA	NA	NA	NA
NA	NA	NA	Tceal3	NA	NA	NA	NA	NA	NA
NA	NA	NA	Tceal5	NA	NA	NA	NA	NA	NA
NA	NA	NA	Tceal6	NA	NA	NA	NA	NA	NA
NA	NA	NA	Tceal7	NA	NA	NA	NA	NA	NA
NA	NA	NA	Tcirg1	NA	NA	NA	NA	NA	NA
NA	NA	NA	Tex30	NA	NA	NA	NA	NA	NA
NA	NA	NA	Tgif1	NA	NA	NA	NA	NA	NA
NA	NA	NA	Thbd	NA	NA	NA	NA	NA	NA
NA	NA	NA	Thbs2	NA	NA	NA	NA	NA	NA
NA	NA	NA	Thrap3	NA	NA	NA	NA	NA	NA
NA	NA	NA	Thy1	NA	NA	NA	NA	NA	NA
NA	NA	NA	Tifa	NA	NA	NA	NA	NA	NA
NA	NA	NA	Tipin	NA	NA	NA	NA	NA	NA
NA	NA	NA	Tm6sf1	NA	NA	NA	NA	NA	NA
NA	NA	NA	Tmem106c	NA	NA	NA	NA	NA	NA
NA	NA	NA	Tmem107	NA	NA	NA	NA	NA	NA
NA	NA	NA	Tmem132a	NA	NA	NA	NA	NA	NA
NA	NA	NA	Tmem54	NA	NA	NA	NA	NA	NA
NA	NA	NA	Tmem97	NA	NA	NA	NA	NA	NA
NA	NA	NA	Tmpo	NA	NA	NA	NA	NA	NA
NA	NA	NA	Tnfaip3	NA	NA	NA	NA	NA	NA
NA	NA	NA	Tnfaip8	NA	NA	NA	NA	NA	NA
NA	NA	NA	Tnfsf15	NA	NA	NA	NA	NA	NA
NA	NA	NA	Tnp1	NA	NA	NA	NA	NA	NA
NA	NA	NA	Top1	NA	NA	NA	NA	NA	NA
NA	NA	NA	Tpr	NA	NA	NA	NA	NA	NA
NA	NA	NA	Trem1	NA	NA	NA	NA	NA	NA
NA	NA	NA	Trib2	NA	NA	NA	NA	NA	NA
NA	NA	NA	Trib3	NA	NA	NA	NA	NA	NA
NA	NA	NA	Trim56	NA	NA	NA	NA	NA	NA
NA	NA	NA	Trmt5	NA	NA	NA	NA	NA	NA
NA	NA	NA	Trpc1	NA	NA	NA	NA	NA	NA
NA	NA	NA	Tsc22d1	NA	NA	NA	NA	NA	NA
NA	NA	NA	Tslp	NA	NA	NA	NA	NA	NA
NA	NA	NA	Tspan5	NA	NA	NA	NA	NA	NA
NA	NA	NA	Ttc3	NA	NA	NA	NA	NA	NA
NA	NA	NA	Tubg1	NA	NA	NA	NA	NA	NA
NA	NA	NA	Txnip	NA	NA	NA	NA	NA	NA
NA	NA	NA	Tyms	NA	NA	NA	NA	NA	NA
NA	NA	NA	Ube2l6	NA	NA	NA	NA	NA	NA
NA	NA	NA	Ube2t	NA	NA	NA	NA	NA	NA
NA	NA	NA	Ubr7	NA	NA	NA	NA	NA	NA
NA	NA	NA	Uhrf1	NA	NA	NA	NA	NA	NA
NA	NA	NA	Uqcc2	NA	NA	NA	NA	NA	NA
NA	NA	NA	Usp1	NA	NA	NA	NA	NA	NA
NA	NA	NA	Vash1	NA	NA	NA	NA	NA	NA
NA	NA	NA	Vcam1	NA	NA	NA	NA	NA	NA
NA	NA	NA	Vegfa	NA	NA	NA	NA	NA	NA
NA	NA	NA	Vnn1	NA	NA	NA	NA	NA	NA
NA	NA	NA	Vrk2	NA	NA	NA	NA	NA	NA
NA	NA	NA	Vwa5a	NA	NA	NA	NA	NA	NA
NA	NA	NA	Wasl	NA	NA	NA	NA	NA	NA
NA	NA	NA	Wdfy2	NA	NA	NA	NA	NA	NA
NA	NA	NA	Wdhd1	NA	NA	NA	NA	NA	NA
NA	NA	NA	Wdr34	NA	NA	NA	NA	NA	NA
NA	NA	NA	Wdr54	NA	NA	NA	NA	NA	NA
NA	NA	NA	Wdr76	NA	NA	NA	NA	NA	NA
NA	NA	NA	Wee1	NA	NA	NA	NA	NA	NA
NA	NA	NA	Wwtr1	NA	NA	NA	NA	NA	NA
NA	NA	NA	Yy1	NA	NA	NA	NA	NA	NA
NA	NA	NA	Zbtb38	NA	NA	NA	NA	NA	NA
NA	NA	NA	Zdhhc6	NA	NA	NA	NA	NA	NA
NA	NA	NA	Zeb1	NA	NA	NA	NA	NA	NA
